# Code: cgiSensitivity.c v2.1 (sll - 20 Sept 2002 Build)
# from WWW Sensitivity Curve Generator located at:
#   http://www.srl.caltech.edu/~shane/sensitivity/MakeCurve.html
# EQUAL ARM Space Based Observatory Sensitivity Curve
# Polarization and All Sky Averaged
# 
# For this data file:
# SNR = 1.000000 
# Armlength = 5.000000e+07 	meters
# Optics diameter = 3.000000 	meters
# Wavelength = 1064.000000 	nanometers
# Laser power = 100.000000 Watts
# Optical train efficiency = 0.300000 
# Accleration noise = 3.000000e-16 m/(s^2 root Hz)
# Position noise = 2.000000e-11 m/(root Hz)
# Sensitivity Floor Set by Laser Shot Noise
# Output Curve type is Laser Shot Noise
#
#
#
#f [Hz] 	hf [Hz^(-1/2)]
5.625968e-04	2.479599e-18
5.757053e-04	2.367966e-18
5.891192e-04	2.261359e-18
6.028457e-04	2.159551e-18
6.168920e-04	2.062327e-18
6.312656e-04	1.969480e-18
6.459741e-04	1.880813e-18
6.610253e-04	1.796138e-18
6.764272e-04	1.715275e-18
6.921879e-04	1.638052e-18
7.083159e-04	1.564306e-18
7.248196e-04	1.493881e-18
7.417080e-04	1.426625e-18
7.589898e-04	1.362398e-18
7.766742e-04	1.301062e-18
7.947707e-04	1.242488e-18
8.132889e-04	1.186550e-18
8.322385e-04	1.133131e-18
8.516297e-04	1.082117e-18
8.714726e-04	1.033400e-18
8.917780e-04	9.868754e-19
9.125564e-04	9.424457e-19
9.338190e-04	9.000164e-19
9.555773e-04	8.596516e-19
9.778423e-04	8.203796e-19
1.000626e-03	7.842100e-19
1.023940e-03	7.487290e-19
1.047798e-03	7.150519e-19
1.072212e-03	6.826616e-19
1.097194e-03	6.519610e-19
1.122759e-03	6.228491e-19
1.148919e-03	5.944378e-19
1.175689e-03	5.677198e-19
1.203082e-03	5.424234e-19
1.231114e-03	5.178527e-19
1.259799e-03	4.945224e-19
1.289153e-03	4.722685e-19
1.319190e-03	4.509176e-19
1.349927e-03	4.307189e-19
1.381380e-03	4.112541e-19
1.413566e-03	3.927505e-19
1.446503e-03	3.750364e-19
1.480206e-03	3.582161e-19
1.514695e-03	3.420310e-19
1.549987e-03	3.266847e-19
1.586102e-03	3.119744e-19
1.623058e-03	2.978757e-19
1.660876e-03	2.845108e-19
1.699574e-03	2.716874e-19
1.739173e-03	2.594650e-19
1.779696e-03	2.477796e-19
1.821163e-03	2.366199e-19
1.863597e-03	2.259827e-19
1.907018e-03	2.158126e-19
1.951452e-03	2.060941e-19
1.996921e-03	1.968119e-19
2.043449e-03	1.879505e-19
2.091061e-03	1.794902e-19
2.139783e-03	1.714096e-19
2.189640e-03	1.636955e-19
2.240659e-03	1.563260e-19
2.292866e-03	1.492898e-19
2.346290e-03	1.425682e-19
2.400958e-03	1.361489e-19
2.456900e-03	1.300159e-19
2.514147e-03	1.241636e-19
2.572726e-03	1.185755e-19
2.632671e-03	1.132354e-19
2.694012e-03	1.081372e-19
2.756782e-03	1.032693e-19
2.821015e-03	9.861999e-20
2.886745e-03	9.417898e-20
2.954006e-03	8.994035e-20
3.022834e-03	8.589040e-20
3.093267e-03	8.202404e-20
3.165340e-03	7.833080e-20
3.239092e-03	7.480423e-20
3.314563e-03	7.143698e-20
3.391792e-03	6.822040e-20
3.470821e-03	6.514956e-20
3.551691e-03	6.221652e-20
3.634445e-03	5.941521e-20
3.719128e-03	5.674042e-20
3.805783e-03	5.418604e-20
3.894459e-03	5.174658e-20
3.985199e-03	4.941688e-20
4.078054e-03	4.719209e-20
4.173073e-03	4.506742e-20
4.270306e-03	4.303854e-20
4.369804e-03	4.110085e-20
4.471621e-03	3.925047e-20
4.575809e-03	3.748345e-20
4.682425e-03	3.579589e-20
4.791526e-03	3.418436e-20
4.903169e-03	3.264534e-20
5.017412e-03	3.117569e-20
5.134318e-03	2.977207e-20
5.253948e-03	2.843175e-20
5.376365e-03	2.715171e-20
5.501634e-03	2.592932e-20
5.629822e-03	2.476199e-20
5.760997e-03	2.364719e-20
5.895228e-03	2.258256e-20
6.032587e-03	2.156588e-20
6.173146e-03	2.059497e-20
6.316980e-03	1.966777e-20
6.464166e-03	1.878232e-20
6.614781e-03	1.793673e-20
6.768906e-03	1.712920e-20
6.926621e-03	1.635804e-20
7.088012e-03	1.562158e-20
7.253162e-03	1.491829e-20
7.422160e-03	1.424666e-20
7.595097e-03	1.360526e-20
7.772063e-03	1.299274e-20
7.953152e-03	1.240780e-20
8.138461e-03	1.184919e-20
8.328086e-03	1.131574e-20
8.522131e-03	1.080629e-20
8.720696e-03	1.031979e-20
8.923889e-03	9.855178e-21
9.131815e-03	9.411491e-21
9.344587e-03	8.987777e-21
9.562320e-03	8.583134e-21
9.785113e-03	8.196728e-21
1.001311e-02	7.827703e-21
1.024642e-02	7.475287e-21
1.048516e-02	7.138747e-21
1.072946e-02	6.817356e-21
1.097946e-02	6.510428e-21
1.123528e-02	6.217324e-21
1.149706e-02	5.937411e-21
1.176494e-02	5.670102e-21
1.203907e-02	5.414828e-21
1.231958e-02	5.171049e-21
1.260662e-02	4.938245e-21
1.290035e-02	4.715920e-21
1.320094e-02	4.503599e-21
1.350852e-02	4.300843e-21
1.382326e-02	4.107215e-21
1.414535e-02	3.922302e-21
1.447493e-02	3.745716e-21
1.481220e-02	3.577079e-21
1.515732e-02	3.416035e-21
1.551049e-02	3.262241e-21
1.587189e-02	3.115368e-21
1.624170e-02	2.975112e-21
1.662013e-02	2.841167e-21
1.700738e-02	2.713253e-21
1.740365e-02	2.591099e-21
1.780916e-02	2.474443e-21
1.822411e-02	2.363040e-21
1.864874e-02	2.256652e-21
1.908325e-02	2.155054e-21
1.952788e-02	2.058031e-21
1.998289e-02	1.965374e-21
2.044849e-02	1.876890e-21
2.092493e-02	1.792389e-21
2.141249e-02	1.711692e-21
2.191140e-02	1.634628e-21
2.242193e-02	1.561034e-21
2.294437e-02	1.490753e-21
2.347897e-02	1.423636e-21
2.402603e-02	1.359541e-21
2.458584e-02	1.298332e-21
2.515869e-02	1.239877e-21
2.574488e-02	1.184056e-21
2.634474e-02	1.130746e-21
2.695858e-02	1.079838e-21
2.758671e-02	1.031221e-21
2.822948e-02	9.847926e-22
2.888722e-02	9.404553e-22
2.956030e-02	8.981136e-22
3.024905e-02	8.576783e-22
3.095385e-02	8.190635e-22
3.167508e-02	7.821870e-22
3.241311e-02	7.469709e-22
3.316833e-02	7.133407e-22
3.394115e-02	6.812242e-22
3.473199e-02	6.505537e-22
3.554124e-02	6.212640e-22
3.636935e-02	5.932934e-22
3.721676e-02	5.665819e-22
3.808391e-02	5.410730e-22
3.897126e-02	5.167129e-22
3.987929e-02	4.934494e-22
4.080848e-02	4.712333e-22
4.175932e-02	4.500177e-22
4.273231e-02	4.297572e-22
4.372798e-02	4.104090e-22
4.474684e-02	3.919320e-22
4.578944e-02	3.742871e-22
4.685633e-02	3.574367e-22
4.794809e-02	3.413449e-22
4.906528e-02	3.259778e-22
5.020849e-02	3.113028e-22
5.137835e-02	2.972886e-22
5.257547e-02	2.839055e-22
5.380048e-02	2.711252e-22
5.505403e-02	2.589203e-22
5.633679e-02	2.472652e-22
5.764943e-02	2.361351e-22
5.899266e-02	2.255063e-22
6.036719e-02	2.153562e-22
6.177375e-02	2.056634e-22
6.321308e-02	1.964071e-22
6.468595e-02	1.875680e-22
6.619313e-02	1.791270e-22
6.773543e-02	1.710664e-22
6.931367e-02	1.633690e-22
7.092867e-02	1.560185e-22
7.258131e-02	1.489993e-22
7.427246e-02	1.422964e-22
7.600301e-02	1.358957e-22
7.777387e-02	1.297837e-22
7.958600e-02	1.239472e-22
8.144035e-02	1.183739e-22
8.333792e-02	1.130520e-22
8.527969e-02	1.079702e-22
8.726671e-02	1.031177e-22
8.930002e-02	9.848421e-23
9.138071e-02	9.405990e-23
9.350988e-02	8.983538e-23
9.568866e-02	8.580167e-23
9.791821e-02	8.195021e-23
1.001997e-01	7.827289e-23
1.025344e-01	7.476171e-23
1.049234e-01	7.140951e-23
1.073681e-01	6.820893e-23
1.098698e-01	6.515338e-23
1.124298e-01	6.223612e-23
1.150493e-01	5.945122e-23
1.177300e-01	5.679261e-23
1.204731e-01	5.425464e-23
1.232802e-01	5.183197e-23
1.261526e-01	4.951955e-23
1.290920e-01	4.731227e-23
1.320997e-01	4.520567e-23
1.351777e-01	4.319506e-23
1.383273e-01	4.127636e-23
1.415504e-01	3.944536e-23
1.448485e-01	3.769823e-23
1.482235e-01	3.603126e-23
1.516771e-01	3.444090e-23
1.552112e-01	3.292376e-23
1.588276e-01	3.147666e-23
1.625282e-01	3.009649e-23
1.663152e-01	2.878032e-23
1.701904e-01	2.752534e-23
1.741557e-01	2.632893e-23
1.782136e-01	2.518849e-23
1.823660e-01	2.410160e-23
1.866150e-01	2.306598e-23
1.909632e-01	2.207938e-23
1.954126e-01	2.113970e-23
1.999657e-01	2.024494e-23
2.046250e-01	1.939319e-23
2.093928e-01	1.858260e-23
2.142716e-01	1.781146e-23
2.192641e-01	1.707807e-23
2.243730e-01	1.638087e-23
2.296009e-01	1.571834e-23
2.349506e-01	1.508902e-23
2.404249e-01	1.449155e-23
2.460268e-01	1.392460e-23
2.517593e-01	1.338691e-23
2.576253e-01	1.287728e-23
2.636279e-01	1.239456e-23
2.697704e-01	1.193763e-23
2.760561e-01	1.150544e-23
2.824882e-01	1.109698e-23
2.890701e-01	1.071126e-23
2.958055e-01	1.034735e-23
3.026978e-01	1.000433e-23
3.097506e-01	9.681353e-24
3.169678e-01	9.377554e-24
3.243532e-01	9.092125e-24
3.319106e-01	8.824279e-24
3.396441e-01	8.573246e-24
3.475578e-01	8.338286e-24
3.556559e-01	8.118675e-24
3.639427e-01	7.913713e-24
3.724226e-01	7.722717e-24
3.811000e-01	7.545029e-24
3.899796e-01	7.380002e-24
3.990661e-01	7.227012e-24
4.083644e-01	7.085452e-24
4.178793e-01	6.954733e-24
4.276159e-01	6.834289e-24
4.375793e-01	6.723570e-24
4.477749e-01	6.622046e-24
4.582080e-01	6.529210e-24
4.688843e-01	6.444572e-24
4.798093e-01	6.367669e-24
4.909889e-01	6.298054e-24
5.024289e-01	6.235307e-24
5.141355e-01	6.179028e-24
5.261149e-01	6.128838e-24
5.383733e-01	6.084386e-24
5.509175e-01	6.045338e-24
5.637538e-01	6.011386e-24
5.768893e-01	5.982243e-24
5.903308e-01	5.957643e-24
6.040855e-01	5.937344e-24
6.181607e-01	5.921122e-24
6.325639e-01	5.908778e-24
6.473025e-01	5.900128e-24
6.623848e-01	5.895013e-24
6.778182e-01	5.893287e-24
6.936115e-01	5.894828e-24
7.097726e-01	5.899530e-24
7.263103e-01	5.907303e-24
7.432333e-01	5.918077e-24
7.605507e-01	5.931798e-24
7.782715e-01	5.948428e-24
